Specifies the quantity of items that remain to be shipped.;Specifies the quantity of items that remain to be shipped.;[NAB: NOT TRANSLATED]
Specifies how many units are being sold.;Specifies how many units are being sold.;[NAB: NOT TRANSLATED]
Specifies how many units of the item on the line have been posted as invoiced.;Specifies how many units of the item on the line have been posted as invoiced.;[NAB: NOT TRANSLATED]
Specifies how many units of the item on the line have been posted as shipped.;Specifies how many units of the item on the line have been posted as shipped.;[NAB: NOT TRANSLATED]
Specifies the date that the customer has asked for the order to be delivered.;Specifies the date that the customer has asked for the order to be delivered.;[NAB: NOT TRANSLATED]
Specifies how many units of the item on the line have been reserved.;Specifies how many units of the item on the line have been reserved.;[NAB: NOT TRANSLATED]
Specifies the code explaining why the item was returned.;Specifies the code explaining why the item was returned.;[NAB: NOT TRANSLATED]
Specifies that there is a specific discount for this customer.;Specifies that there is a specific discount for this customer.;[NAB: NOT TRANSLATED]
Sales Line Disc. Exists;Sales Line Disc. Exists;[NAB: NOT TRANSLATED]
Specifies that there is a specific price for this customer.;Specifies that there is a specific price for this customer.;[NAB: NOT TRANSLATED]
Sales Price Exists;Sales Price Exists;[NAB: NOT TRANSLATED]
Specifies when items on the document are shipped or were shipped. A shipment date is usually calculated from a requested delivery date plus lead time.;Specifies when items on the document are shipped or were shipped. A shipment date is usually calculated from a requested delivery date plus lead time.;[NAB: NOT TRANSLATED]
Specifies the code for the shipping agent who is transporting the items.;Specifies the code for the shipping agent who is transporting the items.;[NAB: NOT TRANSLATED]
Specifies the code for the service, such as a one-day delivery, that is offered by the shipping agent.;Specifies the code for the service, such as a one-day delivery, that is offered by the shipping agent.;[NAB: NOT TRANSLATED]
Specifies how long it takes from when the items are shipped from the warehouse to when they are delivered.;Specifies how long it takes from when the items are shipped from the warehouse to when they are delivered.;[NAB: NOT TRANSLATED]
Specifies the code for Shortcut Dimension 1, which is one of two global dimension codes that you set up in the General Ledger Setup window.;Specifies the code for Shortcut Dimension 1, which is one of two global dimension codes that you set up in the General Ledger Setup window.;[NAB: NOT TRANSLATED]
Specifies the code for Shortcut Dimension 2, which is one of two global dimension codes that you set up in the General Ledger Setup window.;Specifies the code for Shortcut Dimension 2, which is one of two global dimension codes that you set up in the General Ledger Setup window.;[NAB: NOT TRANSLATED]
Specifies that the item on the sales line is a special-order item.;Specifies that the item on the sales line is a special-order item.;[NAB: NOT TRANSLATED]
Specifies that a substitute is available for the item on the sales line.;Specifies that a substitute is available for the item on the sales line.;[NAB: NOT TRANSLATED]
Specifies the tax area that is used to calculate and post sales tax.;Specifies the tax area that is used to calculate and post sales tax.;[NAB: NOT TRANSLATED]
Specifies the tax group that is used to calculate and post sales tax.;Specifies the tax group that is used to calculate and post sales tax.;[NAB: NOT TRANSLATED]
Specifies if the customer or vendor is liable for sales tax.;Specifies if the customer or vendor is liable for sales tax.;[NAB: NOT TRANSLATED]
Specifies the title of the position if the line is of type from..to. This number is calculated automatically.;Specifies the title of the position if the line is of type from..to. This number is calculated automatically.;[NAB: NOT TRANSLATED]
Specifies the type of entity that will be posted for this sales line, such as Item, Resource, or G/L Account.;Specifies the type of entity that will be posted for this sales line, such as Item, Resource, or G/L Account.;[NAB: NOT TRANSLATED]
Specifies the unit cost of the item on the line.;Specifies the unit cost of the item on the line.;[NAB: NOT TRANSLATED]
Specifies the unit of measure for the item or resource on the sales line.;Specifies the unit of measure for the item or resource on the sales line.;[NAB: NOT TRANSLATED]
Specifies how each unit of the item or resource is measured, such as in pieces or hours. By default, the value in the Base Unit of Measure field on the item or resource card is inserted.;Specifies how each unit of the item or resource is measured, such as in pieces or hours. By default, the value in the Base Unit of Measure field on the item or resource card is inserted.;[NAB: NOT TRANSLATED]
Specifies the price for one unit on the sales line.;Specifies the price for one unit on the sales line.;[NAB: NOT TRANSLATED]
Specifies, if the type is Fixed Asset, that information on the line is to be posted to all the assets defined depreciation books. ;Specifies, if the type is Fixed Asset, that information on the line is to be posted to all the assets defined depreciation books. ;[NAB: NOT TRANSLATED]
Specifies the variant of the item on the line.;Specifies the variant of the item on the line.;[NAB: NOT TRANSLATED]
Specifies the VAT product posting group. Links business transactions made for the item, resource, or G/L account with the general ledger, to account for VAT amounts resulting from trade with that record.;Specifies the VAT product posting group. Links business transactions made for the item, resource, or G/L account with the general ledger, to account for VAT amounts resulting from trade with that record.;[NAB: NOT TRANSLATED]
Specifies how many units on the sales order line remain to be handled in warehouse documents.;Specifies how many units on the sales order line remain to be handled in warehouse documents.;[NAB: NOT TRANSLATED]
Specifies which work type the resource applies to when the sale is related to a job.;Specifies which work type the resource applies to when the sale is related to a job.;[NAB: NOT TRANSLATED]
Specifies the sum of the value in the Line Amount Excl. VAT field on all lines in the document minus any discount amount in the Invoice Discount Amount field.;Specifies the sum of the value in the Line Amount Excl. VAT field on all lines in the document minus any discount amount in the Invoice Discount Amount field.;[NAB: NOT TRANSLATED]
Total Amount Excl. VAT;Total Amount Excl. VAT;[NAB: NOT TRANSLATED]
Specifies the sum of the value in the Line Amount Incl. VAT field on all lines in the document minus any discount amount in the Invoice Discount Amount field.;Specifies the sum of the value in the Line Amount Incl. VAT field on all lines in the document minus any discount amount in the Invoice Discount Amount field.;[NAB: NOT TRANSLATED]
Total Amount Incl. VAT;Total Amount Incl. VAT;[NAB: NOT TRANSLATED]
Specifies the sum of VAT amounts on all lines in the document.;Specifies the sum of VAT amounts on all lines in the document.;[NAB: NOT TRANSLATED]
Total VAT;Total VAT;[NAB: NOT TRANSLATED]
Specifies a discount percentage that is granted if criteria that you have set up for the customer are met.;Specifies a discount percentage that is granted if criteria that you have set up for the customer are met.;[NAB: NOT TRANSLATED]
Invoice Discount %;Invoice Discount %;[NAB: NOT TRANSLATED]
Specifies a discount amount that is deducted from the value in the Total Incl. VAT field. You can enter or change the amount manually.;Specifies a discount amount that is deducted from the value in the Total Incl. VAT field. You can enter or change the amount manually.;[NAB: NOT TRANSLATED]
Specifies the sum of the value in the Line Amount Excl. VAT field on all lines in the document.;Specifies the sum of the value in the Line Amount Excl. VAT field on all lines in the document.;[NAB: NOT TRANSLATED]
Subtotal Excl. VAT;Subtotal Excl. VAT;[NAB: NOT TRANSLATED]
Textlines;Textlines;Textzeilen
Absender / Bestimmung;Absender / Bestimmung;Absender / Bestimmung
Notify;Notify;Notify
Shipp To;Shipp To;Empfänger
Exporteur Name;Exporteur Name;Exporteur Name
Abholung Name;Abholung Name;Abholung Name
Beilagen / Unterschrift;Beilagen / Unterschrift;Beilagen / Unterschrift
Frankatur ...;Frankatur ...;Frankatur ...
Vermerke;Vermerke;Vermerke
Wir benötigen;Wir benötigen;Wir benötigen
Exporter;Exporter;Exporteur
Post Code / City;Post Code / City;PLZ / Ort
Pick Up;Pick Up;Abholung
Shipping Agent;Shipping Agent;Spediteur
ShippOrderComm_SuF;ShippOrderComm_SuF;[NAB: NOT TRANSLATED]
Shippingorderlist;Shippingorderlist;Speditionsauftragsliste
Status Code List;Status Code List;Status Code List
 ; ;[NAB: NOT TRANSLATED]
SupplierRatingTemplate;SupplierRatingTemplate;[NAB: NOT TRANSLATED]
SupplierWeighting;SupplierWeighting;[NAB: NOT TRANSLATED]
Period;Period;Periode
New,Process,Report,Rating;New,Process,Report,Rating;Neu,Prozess,Bericht,Bewertung
Supplier Rating;Supplier Rating;Lieferantenbewertung
Bewertung;Bewertung;Bewertung
.;.;.
Assessment;Assessment;Bewertung
Generell;Generell;Generell
Datefilter;Datefilter;Datumsfilter
Logitstic;Logitstic;Logistik
Adherence to schedules;Adherence to schedules;Termintreue
Rating;Rating;Bewertung
Points;Points;Punkte
Adherence to quantity;Adherence to quantity;Mengentreue
Logistic Rating Average;Logistic Rating Average;Logistik Bewertungsdurchschnitt
Provision;Provision;Bereitstellung
Quality of delivery;Quality of delivery;Lieferqualität
Availability;Availability;Erreichbarkeit
Flexibility;Flexibility;Flexibilität
Paymentcondition;Paymentcondition;Zahlungsbedingungen
Price level;Price level;Preisniveau
Price transparency;Price transparency;Preistransparenz
Purchase Rating Average;Purchase Rating Average;Einkaufs Bewertungsdurchschnitt
Assessment / Audits;Assessment / Audits;Bewertung / Audits
Certification;Certification;Zertifizierung
Quality of Deliveries;Quality of Deliveries;Qualität der Lieferungen
Quality Score;Quality Score;Qualiätskennzahl
Quality Rating Average;Quality Rating Average;Qualitäts Bewertungsdurchschnitt
Rating Average;Rating Average;Bewertungsdurchschnitt
Vendor Category;Vendor Category;Kreditor Kategorie
Total Rating;Total Rating;Totale Bewertung
Totalresult;Totalresult;Gesamtergebnis
Total Weight;Total Weight;Totale Gewichtung
1;1;1
2;2;2
3;3;3
4;4;4
Assessment / audit by date;Assessment / audit by date;Bewertung / Audit per Datum
Received QAA;Received QAA;QSV erhalten
QM-System / Certificate;QM-System / Certificate;QM-System / Zertifikat
Correct Purch. Rcpt. Line;Correct Purch. Rcpt. Line;Lieferungen korrigieren
Update Rating;Update Rating;Bewertung aktualisieren
Datetolerance;Datetolerance;Termintoleranz
Supplier Rating List;Supplier Rating List;Lieferantenbewertungsliste
Cat;Cat;Kat
Supplier Rating Option;Supplier Rating Option;Lieferantenbewertung Vorgaben
Tool Comment;Tool Comment;Werkzeug Bemerkung
Applications;Applications;Werkzeug-Einsatz Liste
from Maintenace;from Maintenace;seit Revision
Modified at / by;Modified at / by;Aktualisiert am / durch
Indexmanagement;Indexmanagement;Indexverwaltung
Attachment;Attachment;Dateianhang
Import;Import;Importieren
List;List;Liste
Tool Ctr.;Tool Ctr.;WZ-Einsatz
Comments;Comments;Bemerkungen
Index change;Index change;Indexänderungen
Used in;Used in;Verwendet in
Routing Tool;Routing Tool;Arbeitsplan
Prod. Order;Prod. Order;Fertigung
Drawings;Drawings;Zeichnungen
Drawing;Drawing;Zeichnung
Production Planner;Production Planner;Produktionsplaner
View the list of items that you trade in.;View the list of items that you trade in.;Zeigt die Liste der Artikel, mit denen Sie handeln.
Purchase goods or services from a vendor.;Purchase goods or services from a vendor.;Kauft Waren oder Dienste von einem Kreditor.
&Purchase Order;&Purchase Order;Einkaufs&bestellung
Create a routing defining the operations that are required to produce an end item.;Create a routing defining the operations that are required to produce an end item.;Einen Arbeitsplan erstellen, der die Vorgänge definiert, die für die Fertigung eines Endartikels erforderlich sind.
&Routing;&Routing;A&rbeitsplan
Create a new bill of material for a produced item.;Create a new bill of material for a produced item.;Eine neue Stückliste für einen gefertigten Artikel erstellen.
Production &BOM;Production &BOM;Fertigung&sstückliste
Create a new production order to supply a produced item.;Create a new production order to supply a produced item.;Einen neuen Fertigungsauftrag zur Lieferung eines gefertigten Artikels erstellen.
Production &Order;Production &Order;Fertigungsa&uftrag
View or edit a demand forecast for your sales items, components, or both.;View or edit a demand forecast for your sales items, components, or both.;Einen Bedarfsplan für Ihre Verkaufsartikel, Komponenten oder beides anzeigen oder bearbeiten.
Demand Forecast;Demand Forecast;Bedarfsplanung
Move inventory items between company locations. With transfer orders, you ship the outbound transfer from one location and receive the inbound transfer at the other location. This allows you to manage the involved warehouse activities and provides more certainty that inventory quantities are updated correctly.;Move inventory items between company locations. With transfer orders, you ship the outbound transfer from one location and receive the inbound transfer at the other location. This allows you to manage the involved warehouse activities and provides more certainty that inventory quantities are updated correctly.;Verschieben Sie Lagerartikel zwischen Unternehmen Lagerorte an. Mit Umlagerungsaufträgen ausgehende Umlagerung von einem Lagerort geliefert und eingehende Umlagerung an dem anderen Ort zu erhalten. Diese können Sie die Beteiligten Lageraktivitäten verwalten und weitere Sicherheit das Lager, Mengen korrekt aktualisiert werden.
Transfer Orders;Transfer Orders;Umlagerungsaufträge
Administration;Administration;Verwaltung
Define company policies for manufacturing, such as the default safety lead time and whether warnings are displayed in the planning worksheet.;Define company policies for manufacturing, such as the default safety lead time and whether warnings are displayed in the planning worksheet.;Definiert die Unternehmensrichtlinien für die Produktion, z. B. den standardmässigen Sicherheitszuschlag für die Beschaffungszeit und die Anzeige von Warnungen im Planungsvorschlag.
&Manufacturing Setup;&Manufacturing Setup;&Produktion Einrichtung
Configure your company's policies for calculating delivery dates.;Configure your company's policies for calculating delivery dates.;[NAB: NOT TRANSLATED]
Order Promising S&etup;Order Promising S&etup;L&ieferterminzusagen Einr.
History;History;Historie
Trace where a lot or serial number assigned to the item was used, for example, to find which lot a defective component came from or to find all the customers that have received items containing the defective component.;Trace where a lot or serial number assigned to the item was used, for example, to find which lot a defective component came from or to find all the customers that have received items containing the defective component.;Verfolgt nach, wo eine Chargen- oder Seriennummer, die dem Artikel zugewiesen wurde, verwendet wurde. So können Sie beispielsweise herausfinden, von welcher Charge eine fehlerhafte Komponente herrührte, oder Sie können herausfinden, welche Debitoren Artikel mit der fehlerhaften Komponente erhalten haben.
Item &Tracing;Item &Tracing;Artikelablauf&verfolgung
Navi&gate;Navi&gate;Navi&gate
Tasks;Tasks;Aufgaben
Change the production order to another status, such as Released.;Change the production order to another status, such as Released.;"Den Status des Fertigungsauftrags ändern, z. B. ""Freigegeben""."
Change Pro&duction Order Status;Change Pro&duction Order Status;FA-Status än&dern
Adjust the physical quantity of items on inventory.;Adjust the physical quantity of items on inventory.;Die physische Menge der Artikel im Lager anpassen.
Item &Journal;Item &Journal;&Artikel Erf.-Journal
Get a graphical view of an item's projected inventory based on future supply and demand events, with or without planning suggestions. The result is a graphical representation of the inventory profile.;Get a graphical view of an item's projected inventory based on future supply and demand events, with or without planning suggestions. The result is a graphical representation of the inventory profile.;[NAB: NOT TRANSLATED]
Item Availability by Timeline;Item Availability by Timeline;Artikelverfügbarkeit nach Zeitachse
Plan supply orders order by order to fulfill new demand.;Plan supply orders order by order to fulfill new demand.;Beschaffungsaufträge einzeln planen, um neuen Bedarf zu erfüllen.
Order Pla&nning;Order Pla&nning;Au&ftragsplanung
Plan supply orders automatically to fulfill new demand.;Plan supply orders automatically to fulfill new demand.;Beschaffungsaufträge automatisch planen, um neuen Bedarf zu erfüllen.
Planning Works&heet;Planning Works&heet;Planungsvors&chlag
Plan supply orders automatically to fulfill new demand. This worksheet can plan purchase and transfer orders only.;Plan supply orders automatically to fulfill new demand. This worksheet can plan purchase and transfer orders only.;Beschaffungsaufträge automatisch planen, um neuen Bedarf zu erfüllen. Mit diesem Arbeitsblatt können Sie nur Bestellungen und Umlagerungsaufträge planen.
Re&quisition Worksheet;Re&quisition Worksheet;Bes&tellvorschlag
Calculate the needed production supply, find the production orders that have material ready to send to a subcontractor, and automatically create purchase orders for subcontracted operations from production order routings.;Calculate the needed production supply, find the production orders that have material ready to send to a subcontractor, and automatically create purchase orders for subcontracted operations from production order routings.;Den benötigten Fertigungsbedarf berechnen, nach den Fertigungsaufträgen suchen, bei denen Material an einen Subunternehmer gesendet werden kann, und automatisch aus Arbeitsplänen für Fertigungsaufträge Einkaufsbestellungen für vergebene Arbeitsgänge erstellen.
Subcontracting &Worksheet;Subcontracting &Worksheet;Fremdarbeitenv&orschlag
View the production orders that are waiting to be processed at the work centers and machine centers. Printouts are made for the capacity of the work center or machine center). The report includes information such as starting and ending time, date per production order and input quantity.;View the production orders that are waiting to be processed at the work centers and machine centers. Printouts are made for the capacity of the work center or machine center). The report includes information such as starting and ending time, date per production order and input quantity.;Zeigt die Fertigungsaufträge an, die darauf warten, von den Arbeitsplätzen und Arbeitsplatzgruppen bearbeitet zu werden. Die Kapazität der Arbeitsplatzgruppe oder des Arbeitsplatzes wird angezeigt. Der Bericht enthält Informationen, wie z. B. Start- und Endzeit und Datum sowie die Einsatzmenge je Fertigungsauftrag.
Capacity Task List;Capacity Task List;Auftragsvorratsliste Elfo
View a list of the quantity of each item in customer, purchase, and transfer orders and the quantity available in inventory. The list is divided into columns that cover six periods with starting and ending dates as well as the periods before and after those periods. The list is useful when you are planning your inventory purchases.;View a list of the quantity of each item in customer, purchase, and transfer orders and the quantity available in inventory. The list is divided into columns that cover six periods with starting and ending dates as well as the periods before and after those periods. The list is useful when you are planning your inventory purchases.;Zeigt eine Liste mit der Menge eines jeden Artikels in Debitorenaufträgen, Bestellungen und Umlagerungsaufträgen sowie die verfügbare Menge im Lagerbestand an. Die Liste ist in Spalten unterteilt, die sechs Perioden mit dem jeweiligen Start- und Enddatum sowie die Zeiträume vor und nach diesen Perioden abdecken. Es empfiehlt sich, diese Liste bei der Lagereinkaufsplanung zu verwenden.
Inventory - &Availability Plan;Inventory - &Availability Plan;Lager - Verfügbar&keitsplan
View all known existing requirements and receipts for the items that you select on a specific date. You can use the report to get a quick picture of the current demand-supply situation for an item. The report displays the item number and description plus the actual quantity in inventory.;View all known existing requirements and receipts for the items that you select on a specific date. You can use the report to get a quick picture of the current demand-supply situation for an item. The report displays the item number and description plus the actual quantity in inventory.;Alle bekannten Anforderungen und Wareneingänge für die gewählten Artikel zu einem bestimmten Datum anzeigen. Verwenden Sie diesen Bericht, um sich einen schnellen Überblick über die Bedarfs- und Versorgungssituation zu verschaffen. Der Bericht zeigt die Artikelnummer und die Beschreibung sowie den aktuellen Lagerbestand.
Planning Availability;Planning Availability;Terminabhängige Planung
View basic information for routings, such as send-ahead quantity, setup time, run time and time unit. This report shows you the operations to be performed in this routing, the work or machine centers to be used, the personnel, the tools, and the description of each operation.;View basic information for routings, such as send-ahead quantity, setup time, run time and time unit. This report shows you the operations to be performed in this routing, the work or machine centers to be used, the personnel, the tools, and the description of each operation.;Zeigt Basisinformationen zu Arbeitsplänen an, zum Beispiel Weitergabemenge, Rüstzeit, Bearbeitungszeit und Zeiteinheit. Dieser Bericht enthält die Arbeitsgänge, die in diesem Arbeitsplan ausgeführt werden, die verwendeten Arbeitsplätze oder Arbeitsplatzgruppen, das Personal, die Werkzeuge und die Beschreibung jedes Arbeitsgangs.
Routing Sheet;Routing Sheet;Arbeitsplan
View the list of material to be sent to manufacturing subcontractors.;View the list of material to be sent to manufacturing subcontractors.;Eine Liste der Materialien anzeigen, die zur Fertigung an Subunternehmer gesendet werden.
Subcontractor - Dispatch List;Subcontractor - Dispatch List;Fremdbearbeiter - Versandliste
Production;Production;Produktion
View a cost list per item taking into account the scrap.;View a cost list per item taking into account the scrap.;Eine Liste der Kosten je Artikel mit Berücksichtigung des Ausschusses anzeigen.
D&etailed Calculation;D&etailed Calculation;D&etailkalkulation
View inventory valuation for selected production orders in your WIP inventory. The report also shows information about the value of consumption, capacity usage and output in WIP.;View inventory valuation for selected production orders in your WIP inventory. The report also shows information about the value of consumption, capacity usage and output in WIP.;Den Lagerwert ausgewählter Fertigungsaufträge in Ihrem Lager für unfertige Arbeit anzeigen. Der Bericht zeigt auch Informationen über den Wert von Verbrauch, Kapazitätsauslastung und der Menge, die für unfertige Arbeit gebucht wurden.
Inventory &Valuation WIP;Inventory &Valuation WIP;Lager&bewertung - Aktiviert
View a list of the production orders and their costs, such as expected operation costs, expected component costs, and total costs.;View a list of the production orders and their costs, such as expected operation costs, expected component costs, and total costs.;Eine Liste der vorhandenen Fertigungsaufträge und deren Kosten anzeigen, z. B. Soll-Arbeitsgangkosten, Soll-Komponentenkosten und Gesamtkosten.
P&roduction Order - Calculation;P&roduction Order - Calculation;Fertigungsauf&trag - Berechnung
View a list of the missing quantity per production order. The report shows how the inventory development is planned from today until the set day - for example whether orders are still open.;View a list of the missing quantity per production order. The report shows how the inventory development is planned from today until the set day - for example whether orders are still open.;Eine Liste der Fehlteile je Fertigungsauftrag anzeigen. In diesem Bericht wird die Entwicklung des Lagerbestands ab heute bis zum angegebenen Tag angezeigt, zum Beispiel ob Bestellungen noch offen sind.
Production Order - &Shortage List;Production Order - &Shortage List;Fertigungsauftrag - &Fehlteilliste
View production orders by status.;View production orders by status.;Fertigungsaufträge nach Status anzeigen.
Sta&tus;Sta&tus;Stat&us
Betriebsmittel;Betriebsmittel;Betriebsmittel
Werkzeug-Einsatz;Werkzeug-Einsatz;Werkzeug-Einsatz
Zeichnung;Zeichnung;Zeichnung
Betriebsmittelliste;Betriebsmittelliste;Betriebsmittelliste
Hilfsmittel;Hilfsmittel;Hilfsmittel
Stanz-Werkzeug;Stanz-Werkzeug;Stanz-Werkzeug
Werkzeuge;Werkzeuge;Werkzeuge
Capacities;Capacities;Kapazitäten
View the list of machine centers.;View the list of machine centers.;Die Liste der Arbeitsplätze anzeigen.
Machine Centers;Machine Centers;Arbeitsplätze
View absence hours for work or machine centers.;View absence hours for work or machine centers.;Abwesenheitsstunden für Arbeitsplatzgruppen und Arbeitsplätze anzeigen.
Registered Absence;Registered Absence;Angemeldete Fehlzeit
View or edit detailed information for the vendors that you trade with. From each vendor card, you can open related information, such as purchase statistics and ongoing orders, and you can define special prices and line discounts that the vendor grants you if certain conditions are met.;View or edit detailed information for the vendors that you trade with. From each vendor card, you can open related information, such as purchase statistics and ongoing orders, and you can define special prices and line discounts that the vendor grants you if certain conditions are met.;Detaillierte Informationen für die Kreditoren, mit denen Sie handeln, anzeigen oder bearbeiten. Sie können auf jeder Kreditorenkarte dazugehörende Informationen öffnen, wie etwa Einkaufsstatistik und laufende Bestellungen, sowie Sonderpreise und Zeilenrabatte definieren, die der Kreditor gewährt, wenn bestimmte Bedingungen erfüllt werden.
Vendors;Vendors;Kreditoren
View or edit the list of work centers.;View or edit the list of work centers.;Arbeitsgruppen anzeigen oder bearbeiten.
Work Centers;Work Centers;Arbeitsplatzgruppen
View or register internal comments for the service item. Internal comments are for internal use only and are not printed on reports.;View or register internal comments for the service item. Internal comments are for internal use only and are not printed on reports.;Interne Kommentare für den Serviceartikel anzeigen oder registrieren. Interne Kommentare sind nur zur internen Verwendung vorgesehen und werden nicht in Berichten gedruckt.
Internal;Internal;Intern
View the list of ongoing purchase orders for subcontracted production orders.;View the list of ongoing purchase orders for subcontracted production orders.;Die Liste der laufenden Bestellungen für vergebene Fertigungsaufträge anzeigen.
Subcontracted;Subcontracted;Fremdarbeit
Journals;Journals;Erfassungsjournale
Post item transactions directly to the item ledger to adjust inventory in connection with purchases, sales, and positive or negative adjustments without using documents. You can save sets of item journal lines as standard journals so that you can perform recurring postings quickly. A condensed version of the item journal function exists on item cards for quick adjustment of an items inventory quantity.;Post item transactions directly to the item ledger to adjust inventory in connection with purchases, sales, and positive or negative adjustments without using documents. You can save sets of item journal lines as standard journals so that you can perform recurring postings quickly. A condensed version of the item journal function exists on item cards for quick adjustment of an items inventory quantity.;Artikeltransaktionen direkt in den Artikelposten buchen, um den Lagerbestand im Zusammenhang mit Einkäufen, Verkäufen und positiven oder negativen Abgänge ohne Belege zu regulieren. Sie können Gruppen von Artikel Erfassungsjournalzeilen als Standard Erfassungsjournale speichern, damit Sie wiederkehrende Buchungen schnell ausführen können. Eine eingeschränkte Version der Artikel Erf.-Journal-Funktion ist auf den Artikelkarten für die schnelle Anpassung der Lagermenge von Artikeln vorhanden.
Item Journals;Item Journals;Artikel Erfassungsjournale
Change information recorded on item ledger entries. Typical inventory information to reclassify includes dimensions and sales campaign codes, but you can also perform basic inventory transfers by reclassifying location and bin codes. Serial or lot numbers and their expiration dates must be reclassified with the Item Tracking Reclassification journal.;Change information recorded on item ledger entries. Typical inventory information to reclassify includes dimensions and sales campaign codes, but you can also perform basic inventory transfers by reclassifying location and bin codes. Serial or lot numbers and their expiration dates must be reclassified with the Item Tracking Reclassification journal.;Die in den Lagerposten erfassten Informationen ändern. Zu Informationen, die typischerweise umgebucht werden, zählen Dimensionen und Verkaufskampagnencodes, aber Sie können auch einfache Umlagerungen durch Umbuchung von Lagerort- und Lagerplatzcodes durchführen. Serien- oder Chargennummern und deren Ablaufdatum müssen mit dem Artikeltracking-Erf.-Journal umgebucht werden.
Item Reclassification Journals;Item Reclassification Journals;Artikel Umlag. Erfassungsjournale
Change the inventory value of items, for example after doing a physical inventory.;Change the inventory value of items, for example after doing a physical inventory.;Lagerwert von Artikeln ändern, z. B. nach Durchführung einer Inventur.
Revaluation Journals;Revaluation Journals;Neubewertungs Erfassungsjournale
Product Design;Product Design;Fertigungsstammdaten
View or edit a grouping of production items whose relationship is based on the similarity of their manufacturing processes. By forming production families, some items can be manufactured twice or more in one production, which will optimize material consumption.;View or edit a grouping of production items whose relationship is based on the similarity of their manufacturing processes. By forming production families, some items can be manufactured twice or more in one production, which will optimize material consumption.;Eine Gruppe von Fertigungsartikeln, deren Fertigungsprozesse einander ähneln, anzeigen oder bearbeiten. Durch die Bildung von Fertigungsfamilien können einige Artikel in einem Arbeitsschritt mehrfach gefertigt werden, wodurch der Materialverbrauch optimiert wird.
Families;Families;Fertigungsfamilien
View or edit detailed information for the products that you trade in. The item card can be of type Inventory or Service to specify if the item is a physical unit or a labor time unit. Here you also define if items in inventory or on incoming orders are automatically reserved for outbound documents and whether order tracking links are created between demand and supply to reflect planning actions.;View or edit detailed information for the products that you trade in. The item card can be of type Inventory or Service to specify if the item is a physical unit or a labor time unit. Here you also define if items in inventory or on incoming orders are automatically reserved for outbound documents and whether order tracking links are created between demand and supply to reflect planning actions.;"Detaillierte Informationen zu den Produkten, mit denen Sie handeln, anzeigen oder bearbeiten. Die Artikelkarte kann den Typ ""Lagerbestand"" oder ""Dienst"" aufweisen und damit angeben, ob es sich beim Artikel um eine physische Einheit oder eine Arbeitszeiteinheit handelt. Hier definieren Sie auch, ob Artikel im Lager oder in eingehenden Bestellungen automatisch für ausgehende Belege reserviert und ob Bedarfsverursacherverknüpfungen zwischen Nachfrage und Angebot zur Darstellung von Planungsaktionen erstellt werden sollen."
Items;Items;Artikel
View the list of production items.;View the list of production items.;Liste der Artikel für Fertigungsaufträge anzeigen.
Produced;Produced;Produziert
View the list of items that are not bills of material.;View the list of items that are not bills of material.;Die Liste der Artikel, die keine Stücklisten sind, anzeigen.
Raw Materials;Raw Materials;Rohmaterialien
Open the item's production bill of material to view or edit its components.;Open the item's production bill of material to view or edit its components.;[NAB: NOT TRANSLATED]
View the list of certified production BOMs.;View the list of certified production BOMs.;Die Liste der zertifizierten Fertigungsstücklisten anzeigen.
Certified;Certified;Zertifiziert
View or edit links that are set up between production BOM lines and routing lines to ensure just-in-time flushing of components.;View or edit links that are set up between production BOM lines and routing lines to ensure just-in-time flushing of components.;Links anzeigen oder bearbeiten, die zwischen Fertigungsstücklisten und Arbeitsgänge eingerichtet wurden, um die zeitlich optimierte Buchung der Komponenten sicherzustellen.
Routing Links;Routing Links;Verbindungen
View or edit operation sequences and process times for produced items.;View or edit operation sequences and process times for produced items.;Vorgangsreihenfolgen und Verarbeitungsdauer für gefertigte Artikel anzeigen oder bearbeiten.
Routings;Routings;Arbeitspläne
View or edit standard production operations.;View or edit standard production operations.;FA-Arbeitsgänge anzeigen oder bearbeiten.
Standard Tasks;Standard Tasks;Standardkataloge
Open the list of item SKUs to view or edit instances of item at different locations or with different variants. ;Open the list of item SKUs to view or edit instances of item at different locations or with different variants. ;Öffnet die Liste der Lagerhaltungsdaten des Artikels zum Anzeigen oder Bearbeiten von Instanzen des Artikels an unterschiedlichen Lagerorten oder mit verschiedenen Varianten. 
Stockkeeping Units;Stockkeeping Units;Lagerhaltungsdaten
Production Orders;Production Orders;Fertigungsaufträge
View completed production orders. ;View completed production orders. ;Abgeschlossene Fertigungsaufträge anzeigen. 
Finished Production Orders;Finished Production Orders;Beendete Fertigungsaufträge
Firm Planned Production Orders;Firm Planned Production Orders;Fest geplante Fertigungsaufträge
View the list of production orders with status Planned.;View the list of production orders with status Planned.;"Die Liste der Fertigungsaufträge mit dem Status ""Geplant"" anzeigen."
Planned Production Orders;Planned Production Orders;Geplante Fertigungsaufträge
View the list of released production order that are ready for warehouse activities.;View the list of released production order that are ready for warehouse activities.;Die Liste freigegebener Fertigungsaufträge anzeigen, die für Lageraktivität verfügbar sind.
Released Production Orders;Released Production Orders;Freigegebene Fertigungsaufträge
View the list of ongoing simulated production orders.;View the list of ongoing simulated production orders.;Die Liste der laufenden simulierten Verkaufsaufträge anzeigen.
